,Crime Amount,NeighborhoodId
1,843,1
2,675,2
3,869,3
4,494,4
5,516,5
6,2147,6
7,1726,7
8,4164,8
9,44,9
10,319,10
11,290,11
12,122,12
13,244,13
14,549,14
15,805,15
16,757,16
17,305,17
18,122,18
19,797,19
20,311,20
21,622,21
22,1604,22
23,1025,23
24,2616,24
25,2147,25
26,500,26
27,571,27
28,2667,28
29,903,29
30,689,30
31,540,31
32,4003,32
33,607,33
34,240,34
35,634,35
36,137,36
37,158,37
38,696,38
39,305,39
40,402,40
41,482,41
42,558,42
43,1468,43
44,1325,44
45,228,45
46,715,46
47,56,47
48,283,48
49,958,49
50,232,50
51,385,51
52,180,52
53,594,53
54,121,54
55,107,55
56,398,56
57,219,57
58,415,58
59,280,59
60,368,60
61,851,61
62,232,62
63,406,63
64,170,64
65,653,65
66,868,66
67,883,67
68,904,68
69,1050,69
70,453,70
71,1065,71
72,319,72
73,484,73
74,154,74
75,490,75
76,500,76
77,676,77
