Neighborhood,Crime Amount
san-pedro,12
pacific-palisades,0
brentwood,1
harbor-city,5
wilmington,10
harbor-gateway,8
playa-del-rey,0
westchester,7
venice,7
mar-vista,0
playa-vista,0
del-rey,1
gramercy-park,5
manchester-square,9
hyde-park,28
chesterfield-square,7
harvard-park,10
leimert-park,5
sawtelle,6
rancho-park,0
palms,4
west-los-angeles,0
century-city,1
cheviot-hills,1
beverlywood,0
westwood,2
bel-air,0
baldwin-hillscrenshaw,17
west-adams,5
pico-robertson,0
mid-city,12
mid-wilshire,5
exposition-park,17
jefferson-park,7
arlington-heights,6
harvard-heights,5
carthay,0
beverly-grove,5
fairfax,3
hancock-park,2
koreatown,36
windsor-square,1
hollywood,50
larchmont,1
vermont-vista,15
broadway-manchester,14
green-meadows,12
vermont-knolls,11
watts,22
vermont-slauson,22
florence,33
vermont-square,36
south-park,17
central-alameda,6
adams-normandie,5
university-park,1
historic-south-central,19
pico-union,14
downtown,50
westlake,28
east-hollywood,18
silver-lake,3
chinatown,0
echo-park,3
elysian-park,2
elysian-valley,0
cypress-park,2
boyle-heights,10
lincoln-heights,7
el-sereno,2
montecito-heights,1
woodland-hills,4
tarzana,2
encino,3
sepulveda-basin,0
west-hills,4
chatsworth-reservoir,0
canoga-park,26
winnetka,5
reseda,11
lake-balboa,1
northridge,9
north-hills,7
porter-ranch,0
granada-hills,3
beverly-crest,0
studio-city,2
sherman-oaks,3
valley-village,0
valley-glen,2
hollywood-hills-west,2
hollywood-hills,6
toluca-lake,0
north-hollywood,12
van-nuys,17
panorama-city,2
mission-hills,1
arleta,1
pacoima,5
sun-valley,6
hansen-dam,0
shadow-hills,0
sunland,3
los-feliz,5
griffith-park,1
atwater-village,1
glassell-park,3
mount-washington,0
highland-park,4
eagle-rock,0
tujunga,1
sylmar,5
lake-view-terrace,0
