Neighborhood,Crime Amount
san-pedro,33
pacific-palisades,1
brentwood,5
harbor-city,8
wilmington,21
harbor-gateway,18
playa-del-rey,2
westchester,19
venice,39
mar-vista,10
playa-vista,3
del-rey,5
gramercy-park,14
manchester-square,2
hyde-park,39
chesterfield-square,7
harvard-park,9
leimert-park,7
sawtelle,15
rancho-park,1
palms,7
west-los-angeles,1
century-city,4
cheviot-hills,2
beverlywood,3
westwood,14
bel-air,0
baldwin-hillscrenshaw,28
west-adams,12
pico-robertson,4
mid-city,25
mid-wilshire,31
exposition-park,24
jefferson-park,10
arlington-heights,6
harvard-heights,14
carthay,3
beverly-grove,14
fairfax,13
hancock-park,8
koreatown,36
windsor-square,6
hollywood,74
larchmont,2
vermont-vista,28
broadway-manchester,29
green-meadows,25
vermont-knolls,23
watts,23
vermont-slauson,13
florence,31
vermont-square,31
south-park,20
central-alameda,16
adams-normandie,4
university-park,7
historic-south-central,32
pico-union,17
downtown,141
westlake,44
east-hollywood,32
silver-lake,18
chinatown,4
echo-park,17
elysian-park,2
elysian-valley,3
cypress-park,8
boyle-heights,62
lincoln-heights,13
el-sereno,15
montecito-heights,3
woodland-hills,24
tarzana,14
encino,8
sepulveda-basin,2
west-hills,6
chatsworth-reservoir,0
canoga-park,32
winnetka,16
reseda,19
lake-balboa,9
northridge,22
north-hills,19
porter-ranch,6
granada-hills,19
beverly-crest,1
studio-city,15
sherman-oaks,22
valley-village,6
valley-glen,24
hollywood-hills-west,4
hollywood-hills,14
toluca-lake,9
north-hollywood,27
van-nuys,58
panorama-city,25
mission-hills,10
arleta,5
pacoima,29
sun-valley,22
hansen-dam,2
shadow-hills,1
sunland,4
los-feliz,15
griffith-park,0
atwater-village,7
glassell-park,6
mount-washington,1
highland-park,12
eagle-rock,6
tujunga,3
sylmar,38
lake-view-terrace,2
