Neighborhood,Crime Amount
san-pedro,61
pacific-palisades,23
brentwood,53
harbor-city,21
wilmington,43
harbor-gateway,47
playa-del-rey,12
westchester,138
venice,106
mar-vista,25
playa-vista,19
del-rey,38
gramercy-park,16
manchester-square,15
hyde-park,43
chesterfield-square,16
harvard-park,24
leimert-park,31
sawtelle,78
rancho-park,9
palms,66
west-los-angeles,26
century-city,27
cheviot-hills,4
beverlywood,3
westwood,46
bel-air,7
baldwin-hillscrenshaw,88
west-adams,35
pico-robertson,24
mid-city,54
mid-wilshire,91
exposition-park,91
jefferson-park,34
arlington-heights,22
harvard-heights,26
carthay,6
beverly-grove,70
fairfax,72
hancock-park,17
koreatown,189
windsor-square,11
hollywood,253
larchmont,9
vermont-vista,39
broadway-manchester,47
green-meadows,35
vermont-knolls,32
watts,41
vermont-slauson,40
florence,68
vermont-square,69
south-park,45
central-alameda,40
adams-normandie,16
university-park,116
historic-south-central,85
pico-union,55
downtown,435
westlake,163
east-hollywood,74
silver-lake,67
chinatown,18
echo-park,35
elysian-park,11
elysian-valley,9
cypress-park,9
boyle-heights,97
lincoln-heights,39
el-sereno,26
montecito-heights,11
woodland-hills,101
tarzana,56
encino,59
sepulveda-basin,3
west-hills,51
chatsworth-reservoir,0
canoga-park,109
winnetka,39
reseda,50
lake-balboa,14
northridge,101
north-hills,53
porter-ranch,23
granada-hills,52
beverly-crest,5
studio-city,70
sherman-oaks,128
valley-village,42
valley-glen,71
hollywood-hills-west,21
hollywood-hills,48
toluca-lake,18
north-hollywood,123
van-nuys,155
panorama-city,77
mission-hills,25
arleta,24
pacoima,59
sun-valley,89
hansen-dam,3
shadow-hills,9
sunland,6
los-feliz,49
griffith-park,9
atwater-village,24
glassell-park,17
mount-washington,13
highland-park,36
eagle-rock,26
tujunga,22
sylmar,55
lake-view-terrace,18
