Neighborhood,Crime Amount
san-pedro,39
pacific-palisades,3
brentwood,11
harbor-city,11
wilmington,29
harbor-gateway,20
playa-del-rey,3
westchester,31
venice,27
mar-vista,10
playa-vista,2
del-rey,5
gramercy-park,7
manchester-square,12
hyde-park,33
chesterfield-square,9
harvard-park,6
leimert-park,16
sawtelle,15
rancho-park,3
palms,15
west-los-angeles,5
century-city,5
cheviot-hills,4
beverlywood,0
westwood,20
bel-air,6
baldwin-hillscrenshaw,23
west-adams,18
pico-robertson,10
mid-city,39
mid-wilshire,27
exposition-park,41
jefferson-park,21
arlington-heights,12
harvard-heights,25
carthay,1
beverly-grove,11
fairfax,11
hancock-park,4
koreatown,68
windsor-square,0
hollywood,107
larchmont,4
vermont-vista,19
broadway-manchester,41
green-meadows,39
vermont-knolls,35
watts,46
vermont-slauson,32
florence,42
vermont-square,52
south-park,27
central-alameda,30
adams-normandie,9
university-park,15
historic-south-central,53
pico-union,32
downtown,221
westlake,81
east-hollywood,50
silver-lake,9
chinatown,8
echo-park,14
elysian-park,1
elysian-valley,2
cypress-park,5
boyle-heights,68
lincoln-heights,21
el-sereno,19
montecito-heights,5
woodland-hills,26
tarzana,11
encino,12
sepulveda-basin,2
west-hills,14
chatsworth-reservoir,0
canoga-park,48
winnetka,30
reseda,41
lake-balboa,12
northridge,30
north-hills,28
porter-ranch,6
granada-hills,21
beverly-crest,5
studio-city,16
sherman-oaks,19
valley-village,16
valley-glen,29
hollywood-hills-west,4
hollywood-hills,14
toluca-lake,3
north-hollywood,51
van-nuys,73
panorama-city,35
mission-hills,8
arleta,9
pacoima,40
sun-valley,40
hansen-dam,1
shadow-hills,2
sunland,3
los-feliz,13
griffith-park,0
atwater-village,3
glassell-park,11
mount-washington,6
highland-park,22
eagle-rock,9
tujunga,7
sylmar,28
lake-view-terrace,0
