Neighborhood,Crime Amount
san-pedro,20
pacific-palisades,5
brentwood,13
harbor-city,8
wilmington,9
harbor-gateway,7
playa-del-rey,4
westchester,35
venice,19
mar-vista,7
playa-vista,4
del-rey,12
gramercy-park,4
manchester-square,3
hyde-park,12
chesterfield-square,0
harvard-park,3
leimert-park,7
sawtelle,18
rancho-park,1
palms,3
west-los-angeles,7
century-city,3
cheviot-hills,3
beverlywood,3
westwood,12
bel-air,1
baldwin-hillscrenshaw,12
west-adams,6
pico-robertson,7
mid-city,12
mid-wilshire,10
exposition-park,11
jefferson-park,5
arlington-heights,7
harvard-heights,11
carthay,4
beverly-grove,6
fairfax,16
hancock-park,2
koreatown,27
windsor-square,2
hollywood,35
larchmont,2
vermont-vista,5
broadway-manchester,6
green-meadows,8
vermont-knolls,7
watts,11
vermont-slauson,7
florence,11
vermont-square,12
south-park,12
central-alameda,5
adams-normandie,4
university-park,4
historic-south-central,10
pico-union,13
downtown,50
westlake,16
east-hollywood,14
silver-lake,8
chinatown,5
echo-park,13
elysian-park,1
elysian-valley,2
cypress-park,1
boyle-heights,20
lincoln-heights,7
el-sereno,9
montecito-heights,4
woodland-hills,28
tarzana,10
encino,15
sepulveda-basin,0
west-hills,11
chatsworth-reservoir,0
canoga-park,23
winnetka,11
reseda,19
lake-balboa,8
northridge,23
north-hills,15
porter-ranch,3
granada-hills,15
beverly-crest,5
studio-city,19
sherman-oaks,25
valley-village,15
valley-glen,26
hollywood-hills-west,4
hollywood-hills,5
toluca-lake,4
north-hollywood,24
van-nuys,53
panorama-city,13
mission-hills,6
arleta,3
pacoima,10
sun-valley,23
hansen-dam,1
shadow-hills,3
sunland,6
los-feliz,13
griffith-park,0
atwater-village,3
glassell-park,7
mount-washington,2
highland-park,10
eagle-rock,4
tujunga,11
sylmar,11
lake-view-terrace,4
