Neighborhood,Crime Amount
san-pedro,34
pacific-palisades,5
brentwood,11
harbor-city,4
wilmington,14
harbor-gateway,12
playa-del-rey,3
westchester,24
venice,25
mar-vista,16
playa-vista,5
del-rey,12
gramercy-park,7
manchester-square,5
hyde-park,31
chesterfield-square,10
harvard-park,8
leimert-park,13
sawtelle,18
rancho-park,2
palms,6
west-los-angeles,8
century-city,2
cheviot-hills,8
beverlywood,6
westwood,10
bel-air,1
baldwin-hillscrenshaw,13
west-adams,5
pico-robertson,10
mid-city,19
mid-wilshire,22
exposition-park,5
jefferson-park,6
arlington-heights,8
harvard-heights,3
carthay,2
beverly-grove,13
fairfax,5
hancock-park,12
koreatown,34
windsor-square,7
hollywood,15
larchmont,6
vermont-vista,12
broadway-manchester,7
green-meadows,5
vermont-knolls,10
watts,2
vermont-slauson,8
florence,8
vermont-square,16
south-park,8
central-alameda,0
adams-normandie,4
university-park,4
historic-south-central,3
pico-union,6
downtown,36
westlake,36
east-hollywood,18
silver-lake,21
chinatown,1
echo-park,9
elysian-park,0
elysian-valley,1
cypress-park,0
boyle-heights,23
lincoln-heights,2
el-sereno,2
montecito-heights,0
woodland-hills,24
tarzana,25
encino,17
sepulveda-basin,0
west-hills,10
chatsworth-reservoir,0
canoga-park,14
winnetka,10
reseda,14
lake-balboa,4
northridge,21
north-hills,10
porter-ranch,12
granada-hills,20
beverly-crest,2
studio-city,26
sherman-oaks,34
valley-village,5
valley-glen,17
hollywood-hills-west,6
hollywood-hills,7
toluca-lake,3
north-hollywood,20
van-nuys,24
panorama-city,8
mission-hills,1
arleta,4
pacoima,3
sun-valley,18
hansen-dam,0
shadow-hills,2
sunland,3
los-feliz,13
griffith-park,0
atwater-village,5
glassell-park,9
mount-washington,6
highland-park,10
eagle-rock,7
tujunga,12
sylmar,19
lake-view-terrace,3
