Neighborhood,Crime Amount
san-pedro,6
pacific-palisades,3
brentwood,5
harbor-city,1
wilmington,2
harbor-gateway,3
playa-del-rey,2
westchester,8
venice,6
mar-vista,0
playa-vista,0
del-rey,1
gramercy-park,2
manchester-square,2
hyde-park,7
chesterfield-square,1
harvard-park,1
leimert-park,1
sawtelle,9
rancho-park,0
palms,6
west-los-angeles,2
century-city,0
cheviot-hills,1
beverlywood,0
westwood,7
bel-air,1
baldwin-hillscrenshaw,10
west-adams,3
pico-robertson,2
mid-city,6
mid-wilshire,9
exposition-park,6
jefferson-park,5
arlington-heights,4
harvard-heights,3
carthay,0
beverly-grove,8
fairfax,3
hancock-park,2
koreatown,18
windsor-square,0
hollywood,22
larchmont,2
vermont-vista,7
broadway-manchester,4
green-meadows,6
vermont-knolls,1
watts,5
vermont-slauson,7
florence,5
vermont-square,3
south-park,3
central-alameda,1
adams-normandie,1
university-park,3
historic-south-central,8
pico-union,5
downtown,33
westlake,13
east-hollywood,14
silver-lake,7
chinatown,0
echo-park,4
elysian-park,2
elysian-valley,2
cypress-park,3
boyle-heights,12
lincoln-heights,3
el-sereno,4
montecito-heights,0
woodland-hills,8
tarzana,8
encino,9
sepulveda-basin,1
west-hills,3
chatsworth-reservoir,0
canoga-park,17
winnetka,6
reseda,7
lake-balboa,4
northridge,16
north-hills,6
porter-ranch,5
granada-hills,2
beverly-crest,0
studio-city,5
sherman-oaks,3
valley-village,2
valley-glen,8
hollywood-hills-west,1
hollywood-hills,3
toluca-lake,1
north-hollywood,14
van-nuys,10
panorama-city,11
mission-hills,3
arleta,1
pacoima,4
sun-valley,9
hansen-dam,0
shadow-hills,3
sunland,3
los-feliz,4
griffith-park,0
atwater-village,1
glassell-park,1
mount-washington,0
highland-park,3
eagle-rock,5
tujunga,0
sylmar,11
lake-view-terrace,1
