Neighborhood,Crime Amount
san-pedro,27
pacific-palisades,1
brentwood,11
harbor-city,25
wilmington,28
harbor-gateway,26
playa-del-rey,2
westchester,23
venice,15
mar-vista,5
playa-vista,4
del-rey,6
gramercy-park,4
manchester-square,10
hyde-park,15
chesterfield-square,1
harvard-park,8
leimert-park,5
sawtelle,8
rancho-park,2
palms,12
west-los-angeles,3
century-city,1
cheviot-hills,1
beverlywood,0
westwood,5
bel-air,1
baldwin-hillscrenshaw,14
west-adams,13
pico-robertson,4
mid-city,16
mid-wilshire,16
exposition-park,12
jefferson-park,2
arlington-heights,9
harvard-heights,11
carthay,0
beverly-grove,5
fairfax,9
hancock-park,3
koreatown,31
windsor-square,1
hollywood,27
larchmont,2
vermont-vista,12
broadway-manchester,20
green-meadows,24
vermont-knolls,11
watts,20
vermont-slauson,12
florence,33
vermont-square,32
south-park,20
central-alameda,14
adams-normandie,7
university-park,5
historic-south-central,25
pico-union,11
downtown,49
westlake,39
east-hollywood,27
silver-lake,6
chinatown,5
echo-park,11
elysian-park,1
elysian-valley,1
cypress-park,6
boyle-heights,35
lincoln-heights,17
el-sereno,9
montecito-heights,4
woodland-hills,12
tarzana,5
encino,12
sepulveda-basin,2
west-hills,12
chatsworth-reservoir,0
canoga-park,23
winnetka,17
reseda,22
lake-balboa,6
northridge,16
north-hills,27
porter-ranch,2
granada-hills,9
beverly-crest,1
studio-city,15
sherman-oaks,12
valley-village,8
valley-glen,13
hollywood-hills-west,5
hollywood-hills,7
toluca-lake,3
north-hollywood,21
van-nuys,45
panorama-city,30
mission-hills,9
arleta,10
pacoima,28
sun-valley,25
hansen-dam,1
shadow-hills,3
sunland,5
los-feliz,4
griffith-park,1
atwater-village,2
glassell-park,6
mount-washington,6
highland-park,11
eagle-rock,2
tujunga,2
sylmar,25
lake-view-terrace,4
